,/lpc/nct6797d/control/0,/lpc/nct6797d/control/1,/lpc/nct6797d/control/2,/lpc/nct6797d/control/3,/lpc/nct6797d/control/4,/lpc/nct6797d/control/5,/lpc/nct6797d/control/6,/lpc/nct6797d/voltage/0,/lpc/nct6797d/voltage/1,/lpc/nct6797d/voltage/2,/lpc/nct6797d/voltage/3,/lpc/nct6797d/voltage/4,/lpc/nct6797d/voltage/5,/lpc/nct6797d/voltage/6,/lpc/nct6797d/voltage/7,/lpc/nct6797d/voltage/9,/lpc/nct6797d/voltage/11,/lpc/nct6797d/voltage/12,/lpc/nct6797d/voltage/13,/lpc/nct6797d/voltage/14,/lpc/nct6797d/temperature/1,/lpc/nct6797d/temperature/2,/lpc/nct6797d/temperature/3,/lpc/nct6797d/temperature/5,/lpc/nct6797d/temperature/6,/lpc/nct6797d/fan/0,/lpc/nct6797d/fan/1,/lpc/nct6797d/fan/2,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/power/8,/amdcpu/0/power/9,/amdcpu/0/temperature/0,/amdcpu/0/temperature/4,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU CCD #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Temperature","Used Space","Used Space"
03/23/2023 19:35:50,100,58.8235321,62.7451,57.64706,57.64706,57.64706,49.80392,1.1680001,1,3.328,3.31200027,1,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1143.09912,1332.67517,3.90625,0,0.78125,0.78125,0,1.5504837,6.25,3.90625,2.14693546,36.14892,100.0008,2.183297,1.19919062,0.283882439,0.268665254,0.2545573,0.484884083,2.99674821,2.723813,50.25,42.25,3775.03027,3775.03027,3775.03027,3880.031,3880.031,3880.031,3880.031,4850.039,10.3950377,23.7874756,7.59470749,24.33263,47,1800.00012,9501.996,0,4,1,0,0,57,1104,10240,1567.1875,8672.8125,15.3045654,105.744,21.484375,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:52,100,58.8235321,62.7451,57.64706,57.64706,57.64706,49.80392,1.128,1,3.344,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2335.64014,1129.70715,1330.04932,2.34375,0.7692337,0,0,0,1.5625,5.46875,4.6875,1.85396671,35.5480232,100.0008,2.06186128,0.8504958,0.2712348,0.2962403,0.16964148,0.540592,2.86406183,2.418274,50,41,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,9.472402,23.7797775,7.592251,24.3350868,47,1800.00012,9501.996,0,4,1,0,0,57,1104,10240,1567.125,8672.875,15.3039551,104.973007,17.578125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:53,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.136,1,3.344,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1135.408,1328.74011,2.34375,0.793647766,0.78125,0,0,0.78125,7.8125,2.34375,1.85701847,33.6866264,100.0008,1.88754714,0.547030747,0.2032855,0.205659926,0.128894329,0.344580472,2.82975149,2.144721,49.625,41.5,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,8.291471,23.7888641,7.59515,24.3321877,47,1800.00012,9501.996,0,4,1,0,0,57,1106,10240,1567.125,8672.875,15.3039551,105.110008,19.53125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:54,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.1680001,1,3.328,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1129.70715,1317.07312,0.78125,0,0,0,0,0,6.25,5.46875,1.5625,35.5123367,100.0008,2.108299,1.0749532,0.289404541,0.341533422,0.259651542,0.390271544,2.99755478,2.638304,49.75,41,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,3775.03027,10.0999727,23.7835541,7.59345627,24.3338814,47,1800.00012,9501.996,0,4,1,0,0,57,1104,10240,1567.125,8672.875,15.3039551,104.984009,14.6484375,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:55,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.128,1,3.328,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1060.487,1294.34326,3.125,0,0,0,0,0,7.87450075,2.34375,1.66790485,33.4668274,100.0008,1.90160322,0.53042686,0.193158582,0.143523574,0.157800376,0.3288627,2.807641,2.35369778,50,41,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,8.416715,23.7813644,7.592758,24.33458,47,1800.00012,9501.996,0,4,1,0,0,57,1105,10240,1567.125,8672.875,15.3039551,105.148,20.5078125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:56,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.1680001,1,3.328,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2335.64014,1082.59827,1285.71423,1.5504837,0.78125,0,0,0,0.78125,3.858173,3.90625,1.35967731,37.3588867,100.0008,2.21496058,1.07446861,0.301237077,0.3305528,0.340882748,0.5274687,3.15072322,2.7575624,50.125,41.25,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,3880.031,10.6978559,23.7855682,7.594097,24.33324,47,1800.00012,9501.996,0,3,1,0,0,57,1100,10240,1567.125,8672.875,15.3039551,105.008,20.5078125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:57,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.128,1,3.328,3.31200027,1,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2335.64014,1143.09912,1298.0769,1.5625,0,0,0,0,0,2.34375,3.125,0.87890625,35.62732,100.0008,2.128888,1.0988003,0.2700973,0.1378823,0.124602027,0.3136451,2.86792,2.56572914,49.875,41.5,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,9.507565,23.776207,7.59111,24.3362274,47,1800.00012,9501.996,0,4,1,0,0,54,1089,10240,1567.125,8672.875,15.3039551,105.299,20.5078125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:58,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.15200007,1.008,3.344,3.31200027,1,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1114.78113,1289.39832,1.5625,0,0,0,0,0,3.125,0.78125,0.68359375,35.6638832,100.0008,2.18170786,1.00760579,0.294411451,0.414159566,0.1956304,0.5494482,3.03335357,2.554614,49.75,40.75,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,10.23093,23.7707214,7.58935928,24.3379784,47,1800.00012,9501.996,0,4,1,0,0,49,1024,10240,1567.1875,8672.8125,15.3045654,104.347008,19.53125,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:35:59,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.176,1,3.344,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,40,38,-1,2343.75,1063.82983,1283.27,1.5625,0,0,0.78125,0,0,4.74950075,3.90625,1.3749361,35.7160225,100.0008,2.19402218,1.32818627,0.167775527,0.268694758,0.154728532,0.578626,2.95672822,2.60705948,49.625,41.25,3775.03027,3775.03027,3775.03027,3880.031,3880.031,3880.031,3880.031,4850.039,10.2558212,23.7843781,7.59371948,24.3336182,47,1800.00012,9501.996,0,4,1,0,0,46,920,10240,1567.25,8672.75,15.3051758,104.445007,21.484375,4.8828125,22,32.049263,37,96.7100449,86.69096
03/23/2023 19:36:00,100,57.64706,61.56863,57.64706,57.64706,57.64706,49.80392,1.176,1.008,3.344,3.31200027,1.008,0.144000009,0.752000034,3.328,1.83200014,0.776,0.9760001,0.60800004,1.51200008,40,34,39.5,38,-1,2343.75,1093.11743,1295.58545,0,0,0.78125,0,0,0,6.9711566,2.34375,1.26202106,35.7558,100.0008,2.20336223,0.904843152,0.241127551,0.333292454,0.146982446,0.546544433,3.26924014,2.64637375,49.625,40.25,4850.039,4850.039,3880.031,3880.031,3880.031,3880.031,3880.031,4850.039,10.2917662,23.7799149,7.592293,24.3350449,46,1800.00012,9501.996,0,4,1,0,0,41,783,10240,1567.25,8672.75,15.3051758,104.225006,14.6484375,4.8828125,22,32.049263,37,96.7100449,86.69096
